City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind_Speed
butaritari,0,KI,1569465374,75,3.07,172.79,172.79,301.992
esperance,40,AU,1569465374,68,-33.86,121.89,121.89,292.15
riyadh,0,SA,1569465374,33,24.63,46.72,46.72,297.15
vaini,75,IN,1569465375,94,15.34,74.49,74.49,295.15
cherskiy,0,RU,1569465186,48,68.75,161.3,161.3,276.132
puerto madryn,0,AR,1569465184,41,-42.77,-65.04,-65.04,290.292
